Genome,jk18x11,jk18x1bz,jk18x22,jk18x25,jk18x27,jk18x34,jk18x40,jk18x44,jk18x7,jk18x8,jk18x9,jk18xA,p16x33,p16x34,p16x43,p16x44,p16x57,p16x60,p16x63,p16x65
jk18xAbins.20,0.21939632,0,0.026773913,0.04070685,0,0,0,0,0.031284083,0.14357696,0.029530251,0.2973614,0,0,0.022297662,0.045023896,0,0,0.04550995,0
jk18x25bins.51,0,0.075457685,0.05385263,2.2092464,0.019893095,0.07927538,0.025957271,0,0.009606465,0,0.011222963,0.022811102,0,0.030114217,0.028741524,0,0.034792382,0.019029818,0.04451101,0.033303156
jk18x1bzbins.67,0,0.5479275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jk18xAbins.61,6.8821497,0,3.837316,5.4892855,0,0,0,0,0.819261,6.210716,1.2486368,15.529264,0,0,3.897633,1.5817997,0,0,0.7871221,0
p16x33bins.19,0,0.110106766,0,0.38436657,0.063790455,0.22867829,0.054721456,0.008942357,0,0,0,0,0.36828178,0,0,0,0,0,0,0
jk18x1bzbins.57,0.00567894,0.578108,0.0395741,0.16817556,0,0,0,0,0.009221425,0,0,0,0.02785661,0.03370856,0.049037118,0.0083124805,0.025380561,0.03571717,0,0
p16x34bins.65,0,0,0.026923897,1.0800894,0,0,0,0.020017527,0,0,0,0.012539962,0,1.8425841,0,0,0.8770809,0,0,0
p16x65bins.40,0.0104242675,0.016148258,0.030002067,0,0.028841728,0.0295939,0.107577905,0.019190129,0.029492943,0.017703453,0.03850023,0.019344928,0.20999934,0.17248596,0.1363215,0.037071303,0.10158633,0.29676402,0.105655834,0.50838065
jk18x7bins.13,0.05331977,0.015548857,0.033531494,0.036582354,0,0,0,0,0.37779677,0.08605935,0.28863752,0,0,0,0,0,0,0,0,0
jk18xAbins.48,0.007881414,0.022988815,0.013484498,0.022011373,0.021941591,0.03509834,0.02407711,0,0.026968025,0,0.02685388,0.335003,0.017352544,0.028137043,0.015029045,0,0,0.01766457,0.014110427,0
jk18x27bins.71,0.3849931,0.07082751,0.1315059,0.1780347,9.897867,10.131235,0,0,0.12710999,0.29323837,0.12645453,1.5232106,0,0,0.18039604,0.13032658,0.21919481,0.24867745,7.206781,5.2155013
p16x33bins.37,0,0,0,0,0,0,0,0,0.061997052,0.009482848,0.13997005,0,0.36067668,0,0,0,0,0,0,0
jk18x40bins.47,0,0,0,0,0,0,0.43187568,0.14352593,0,0,0,0,0.045939382,0.018325869,0,0,0,0,0,0
jk18x22bins.16,0.012666323,0.048388332,0.4281939,0.06788977,0.031224523,0.029834297,0.049359206,0.011567014,0.030252146,0.02254999,0.049197398,0.035799965,0.03108533,0,0.03632793,0.013347629,0.02097227,0.027660362,0.042272583,0.02390739
p16x44bins.32,0,0,0,0,0,0,0,0,0,0,0,0,0.0404067,0.04571501,1.0103834,0.20796992,0.112017654,0.15518478,0,0
jk18x22bins.18,0,0,0.22112694,0.12058309,0,0,0,0,0,0,0,0,0,0,0.06910743,0.02710002,0,0,0,0
jk18x8bins.18,1.5150589,0,0.10976126,0.059992764,0.020754864,0.80590683,0.31618476,0.32297486,0.41660646,1.5068575,0.24970792,0,0.021541711,0.082974195,0.08485518,0.029066332,0,0.010361884,0.02527084,0.022062551
jk18x40bins.27,0,0,0.015957024,0,0,0.032909572,0.48537645,0.048051875,0.006235708,0,0.0082704015,0,0,0,0,0,0,0,0.0150588555,0.011063843
jk18x22bins.80,0,0,0.94256806,0.1383596,0.013466366,0.010171661,0,0,0.03978768,0,0,0.012532504,0.044439863,0.028566157,0.008775448,0,0.0062955846,0.006550922,0,0
p16x44bins.53,0.020470658,0,0.04584151,0.029089248,0.031135578,0.038124423,0.014346868,0,0.027220696,0.03079989,0.12063217,0.0084519815,0.057327062,0.073225394,0.62877786,0.33234558,0.03125903,0.11100277,0.033824522,0.016913224
jk18x9bins.20,0.07736209,0.013030887,0.010788129,0.018139416,0.065295525,0.06069224,0.023151917,0.011938862,0.5805457,0.12720864,1.3400738,0.009055024,0.029183628,0.011057322,0.026145866,0.013019983,0.020325815,0.012025468,0.026111387,0.052790545
jk18x1bzbins.18,0,2.059402,0.07276078,0,0,0,0,0,0,0,0,0,0.1129611,0,0.035152268,0,0,0,0,0
jk18x22bins.107,0,0,1.8096149,0.0057558385,0,0.009029188,0,0,0.016779304,0,0.022590742,0,0,0,0,0,0,0,0,0
jk18x1bzbins.28,0.010826902,2.3946443,0.030690016,0.18816055,0.08773184,0.045862406,0,0,0.0224426,0,0,0.1359627,0.053560246,0,0.025688501,0.036638264,0,0,0.044642627,0.036933575
p16x34bins.72,0.011425309,0.061186273,0.15630788,0.08842204,0.06204684,0.05218584,0.041195933,0.008067808,0.033997215,0.014146804,0.064331286,0.081333585,0.1782717,0.86700904,0.24120815,0.09233793,0.3226874,0.60231775,0.18126845,0.17406064
jk18x27bins.51,0.0052716457,0.021325648,0,0,0.25952882,0.06007857,0,0,0.009858083,0,0.019246688,0.013082681,0.05699791,0.021130074,0.056201503,0.007896113,0,0,0.018007467,0
